name,headline,location,company,category,score,conversation_starter,linkedin_url
Rohit Verma,Founder at FinTech AI,"Ahmedabad, Gujarat, India",FinTech AI,Consumer x AI,70,"Hi Rohit Verma! I noticed you're building FinTech AI in consumer tech with AI from Ahmedabad, Gujarat, India. Your work in AI-powered consumer applications is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/rohit-verma-fintech
Priyanka Jain,Co-founder at EdTech AI,"Kolkata, West Bengal, India",EdTech AI,Consumer x AI,70,"Hi Priyanka Jain! I noticed you're building EdTech AI in consumer tech with AI from Kolkata, West Bengal, India. Your work in AI-powered consumer applications is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/priyanka-jain-edtech
Amit Kumar,Founder at PropTech AI,"Jaipur, Rajasthan, India",PropTech AI,Consumer x AI,70,"Hi Amit Kumar! I noticed you're building PropTech AI in consumer tech with AI from Jaipur, Rajasthan, India. Your work in AI-powered consumer applications is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/amit-kumar-proptech
Neha Sharma,Co-founder at TravelTech AI,"Indore, Madhya Pradesh, India",TravelTech AI,Consumer x AI,70,"Hi Neha Sharma! I noticed you're building TravelTech AI in consumer tech with AI from Indore, Madhya Pradesh, India. Your work in AI-powered consumer applications is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/neha-sharma-traveltech
Sanjay Khanna,Founder at Gaming AI,"Chandigarh, India",Gaming AI,Consumer x AI,70,"Hi Sanjay Khanna! I noticed you're building Gaming AI in consumer tech with AI from Chandigarh, India. Your work in AI-powered consumer applications is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/sanjay-khanna-gaming
Kavita Reddy,Co-founder at MediaTech AI,"Vadodara, Gujarat, India",MediaTech AI,Consumer x AI,70,"Hi Kavita Reddy! I noticed you're building MediaTech AI in consumer tech with AI from Vadodara, Gujarat, India. Your work in AI-powered consumer applications is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/kavita-reddy-mediatech
Manish Patel,Founder at SocialTech AI,"Surat, Gujarat, India",SocialTech AI,Consumer x AI,70,"Hi Manish Patel! I noticed you're building SocialTech AI in consumer tech with AI from Surat, Gujarat, India. Your work in AI-powered consumer applications is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/manish-patel-socialtech
Anushka Singh,Co-founder at MobileApp AI,"Nagpur, Maharashtra, India",MobileApp AI,Consumer x AI,70,"Hi Anushka Singh! I noticed you're building MobileApp AI in consumer tech with AI from Nagpur, Maharashtra, India. Your work in AI-powered consumer applications is fascinating. Would love to discuss how you're leveraging AI for consumer experiences in India.",https://www.linkedin.com/in/anushka-singh-mobileapp
Dhruvil Sanghvi,Founder & CEO at PharmEasy,"Mumbai, Maharashtra, India",PharmEasy,Health,65,"Hi Dhruvil Sanghvi! I noticed you're building PharmEasy in healthcare from Mumbai, Maharashtra, India. Your work in digital health solutions is impressive. Would love to discuss the healthtech opportunity in India and potential collaboration.",https://www.linkedin.com/in/dhruvil-sanghvi
Mukesh Bansal,Founder & CEO at Cult.fit,"Bangalore, Karnataka, India",Cult.fit,Health,65,"Hi Mukesh Bansal! I noticed you're building Cult.fit in healthcare from Bangalore, Karnataka, India. Your work in digital health solutions is impressive. Would love to discuss the healthtech opportunity in India and potential collaboration.",https://www.linkedin.com/in/mukesh-bansal
